Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits,Inspect TypeA,Inspect TypeB,Other TypeA,Other TypeB,Complaint Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340314892,"GENERAL DAVIE, JR. PRIMARY CENTER",SAN JUAN UNIFIED SCHOOL DISTRICT,"ANDREWS,J/MARRIOTT,L",(916) 971-7375,1500 DOM WAY,SACRAMENTO,CA,95864,SACRAMENTO,3,145,LICENSED,5/4/1992,,8/8/2019,3,0,5,8,0,0,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622470,GENIUS KIDS,"DP KIDS CARE, INC.","DIPIPPO, ALYSSA",(916) 719-2261,2740 LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,22,LICENSED,5/24/2018,,8/14/2019,1,6,2,9,0,1,1,0,8/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622472,GENIUS KIDS,"DP KIDS CARE, INC.","DEETS, PAMELA",(916) 719-2261,2800 LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,58,LICENSED,5/24/2018,,7/19/2019,1,0,1,2,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617297,GLORY CHILDREN'S LEARNING CENTER,"ASGEDOM, SEWRAWIT","TOLEDANO, JOYCE",(916) 515-8446,2641 COOPER WAY,SACRAMENTO,CA,95864,SACRAMENTO,3,30,CLOSED,11/14/2012,1/15/2016,9/12/2014,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621268,"GLORY CHILDREN'S LEARNING CTR, INC (PS)","GLORY CHILDREN'S LEARNING CTR, INC","VELAGAPUDI, RAMA",(916) 515-8446,2641 COOPER WAY,SACRAMENTO,CA,95864,SACRAMENTO,3,30,LICENSED,6/30/2016,9/14/2016,8/28/2019,2,3,4,9,0,6,0,1,5/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620854,GLORY CHILDREN LEARNING CENTER (PS),GLORY CHILDREN'S LEARNING CENTER,"VELAGAPUDI, RAMA",(916) 515-8446,2641 COOPER WAY,SACRAMENTO,CA,95864,SACRAMENTO,3,30,CLOSED,1/14/2016,10/21/2016,9/19/2016,0,4,2,6,0,0,0,0,6/24/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343615181,"GODDARD SCHOOL, THE","EMERIN LEARNING CENTER, LLC","FERNANDEZ-SELL, CYNTHIA",(916) 861-0906,10710 BEAR HOLLOW DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,108,LICENSED,5/30/2008,,7/16/2019,3,5,3,11,0,0,0,1,10/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620245,"GODDARD SCHOOL, THE","HJK FAMILY CORP, THE","COLLINS, AMY",(916) 936-0377,251 OUTCROPPING WAY,FOLSOM,CA,95630,SACRAMENTO,3,132,LICENSED,12/24/2014,,7/2/2019,2,3,3,8,0,0,0,1,3/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340321300,GOLD RIVER PRESCHOOL,SAN JUAN UNIFIED SCHOOL DISTRICT,"SAITO, TRICIA",(916) 867-2125,2220 ROARING CAMP DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,48,LICENSED,9/30/1994,,10/4/2018,2,0,1,3,0,5,0,4,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343609470,GOLDEN EMPIRE PRESCHOOL,SACRAMETNO CITY UNIFIED SCHOOL DIST. CHIILD DEVEL.,"STEET, MARILYN",(916) 228-5890,9045 CANBERRA DR.,SACRAMENTO,CA,95826,SACRAMENTO,3,24,LICENSED,9/12/2003,,4/25/2018,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343608394,GOLDEN VALLEY ACADEMY,SBA ENTERPRISES,TRICA MANSU,(916) 689-8823,7725 SHELDON ROAD,ELK GROVE,CA,95758,SACRAMENTO,53,68,LICENSED,9/30/2002,,3/15/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340318286,GOOD NEIGHBORS,GOOD NEIGHBORS CLUB OF DEL PASO HEIGHTS,"GIFFORD,KAREN",(916) 649-6966,3700 KNIGHTLINGER,SACRAMENTO,CA,95838,SACRAMENTO,3,48,LICENSED,3/13/1992,,4/27/2017,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622586,GOOD SHEPHERD PRESCHOOL,"LUTHERAN CHURCH OF THE GOOD SHEPHERD, THE","LJUNG, KRISTEN",(916) 483-0466,3040 ARDEN WAY,SACRAMENTO,CA,95825,SACRAMENTO,3,30,LICENSED,9/7/2018,,8/7/2019,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343602290,GRAND OAKS HEAD START STATE PRESCHOOL,SAN JUAN UNIFIED SCHOOL DISTRICT,"HOUGHTON, RUTH",(916) 971-7375,7901 ROSSWOOD DR,CITRUS HEIGHTS,CA,95621,SACRAMENTO,3,24,LICENSED,9/27/1996,,2/26/2019,3,0,0,3,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340320034,GREAT BEGINNINGS CHILD DEVELOPMENT CNTR,"LEVENHAGEN, STEPHANIE","SIBERT, KELLY",(916) 456-4642,2791 24TH STREET,SACRAMENTO,CA,95818,SACRAMENTO,3,57,LICENSED,2/10/1993,,2/8/2018,2,0,2,4,0,4,0,2,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621907,GROWING BRILLIANT NATOMAS,"GROWING BRILLIANT VENTURES, LLC","WEBER, KRISTY",(916) 941-5304,2040 CLUB CENTER DRIVE,SACRAMENTO,CA,95835,SACRAMENTO,3,108,LICENSED,7/6/2017,,12/3/2018,1,2,2,5,0,0,0,0,12/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340318296,HAGGINWOOD STATE PRESCHOOL,TWIN RIVER UNIFIED SCHOOL DISTRICT,"SYMON, TANISHA",(916) 263-8366,"1418 PALO VERDE AVENUE, RM. 20",SACRAMENTO,CA,95815,SACRAMENTO,3,22,LICENSED,6/22/1992,,1/10/2019,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616079,HAND IN HAND CHILD DEVELOPMENT CENTER,"HIHCDC, INCORPORATED","OSWALT, MICHELLE",(916) 441-7450,1614 N STREET,SACRAMENTO,CA,95814,SACRAMENTO,3,45,LICENSED,1/1/2010,,10/24/2018,2,1,1,4,0,0,1,0,11/20/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340311282,HANSEN'S EARLY LEARNING CENTER,"HANSEN, RHONDA","HANSEN, RHONDA JEAN",(916) 684-1600,5275 TEGAN ROAD,ELK GROVE,CA,95758,SACRAMENTO,53,41,LICENSED,9/27/1988,,12/5/2018,3,0,0,3,0,6,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621079,HAPPY TIME PRESCHOOL,"LUCAS, MICHELLE","LUCAS, MICHELLE",(916) 422-6777,4518 47TH AVENUE,SACRAMENTO,CA,95824,SACRAMENTO,3,48,LICENSED,5/6/2016,,11/19/2018,1,3,2,6,0,0,0,0,11/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616680,HAPPYTIME PRESCHOOL,"PULLIAM, PAMELA","PULLIAM, PAMELA",(916) 422-6777,4518 47TH AVENUE,SACRAMENTO,CA,95824,SACRAMENTO,3,30,CLOSED,10/31/2011,5/6/2016,9/11/2015,1,2,1,4,0,0,0,0,12/26/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343609927,HERMAN LEIMBACH ELEMENTARY SCHOOL,ELK GROVE UNIFIED SCHOOL DISTRICT LEARN SUP SERV.,"CORDOVA, ABELARDO",(916) 689-2120,8101 GRANDSTAFF DR.,SACRAMENTO,CA,95823,SACRAMENTO,3,48,LICENSED,4/12/2004,,1/3/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343606947,HIRAM JOHNSON CENTER,SCUSD CHILD DEVELPMENT,"SARABA/VANG, YE",(916) 264-4210,3535 65TH STREET,SACRAMENTO,CA,95820,SACRAMENTO,3,73,LICENSED,12/12/2001,,1/24/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617690,HOLLYWOOD PARK PRESCHOOL,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,"SANCHEZ, TAMMY",(916) 718-7097,4915 HARTE WAY,SACRAMENTO,CA,95822,SACRAMENTO,3,30,CLOSED,9/3/2013,8/21/2017,4/9/2015,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340317458,HOLY FAMILY PRESCHOOL / DAYCARE CENTER,"ROMAN CATHOLIC BISHOP OF SACRAMENTO, A CORP. SOLE","EBERHARDT, LUCY",(916) 722-4620,7817 OLD AUBURN ROAD,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,74,CLOSED,4/22/1992,7/26/2019,5/2/2019,3,3,2,8,0,0,1,1,3/6/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340306384,HOWE AVE. CHILDREN'S CENTER/HEAD START/P.S.,SAN JUAN UNIFIED SCHOOL DISTRICT,VICKY MABRY,(916) 566-2181,2404 HOWE AVE.,SACRAMENTO,CA,95825,SACRAMENTO,3,96,LICENSED,5/17/1985,,1/17/2019,2,0,0,2,0,2,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616122,"H.O.P.E CENTER, THE","H.O.P.E. CENTER, THE","MONTGOMERY, DAWN",(916) 863-7949,5550 MAIN AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,26,LICENSED,1/7/2010,,1/8/2018,2,1,0,3,0,0,0,0,1/25/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340317920,H.W. HARKNESS PRESCHOOL,SCUSD CHILD DEVELOPMENT,"FRANCO, DIANA",(916) 433-5045,2147 54TH AVENUE,SACRAMENTO,CA,95822,SACRAMENTO,3,24,LICENSED,6/16/1992,,3/8/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622008,ICONIC KIDS CHILDCARE & LEARNING CENTER,"CHETLAPALLI, JANAKI","THOMPSON, IONA",(916) 542-7196,6035 MAIN AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,47,LICENSED,8/1/2017,,7/30/2019,1,4,3,8,1,0,0,0,8/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621959,INNOVATIVE SCHOLAR ACADEMY (PS),"REYES, JENNIFER","LAL, JANICE",(408) 910-9921,9624 MELROSE AVE,ELK GROVE,CA,95624,SACRAMENTO,53,24,CLOSED,12/28/2017,12/31/2018,12/4/2018,1,1,2,4,0,0,2,0,9/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621590,INSPIRE PRESCHOOL ACADEMY,"INSPIRE PRESCHOOL ACADEMY, LLC","WEISS, JODI",(916) 574-9591,1996 DEL PASO RD SUITE 178,SACRAMENTO,CA,95834,SACRAMENTO,3,45,LICENSED,7/17/2017,,3/21/2019,1,0,2,3,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623192,INSPIRING BEGINNINGS CHILDCARE CENTER,"DAVIS, JOSETTE","DAVIS, JOSETTE",(916) 646-4813,924 SAN JUAN ROAD,SACRAMENTO,CA,95834,SACRAMENTO,3,40,LICENSED,8/20/2019,,7/29/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343615880,IRENE B. WEST ELEMENTARY SCHOOL,ELK GROVE UNIFIED SCHOOL DISTRICT,"CHARTER, CLAUDIA",(916) 682-5583,8625 SERIO WAY,ELK GROVE,CA,95758,SACRAMENTO,53,24,LICENSED,7/31/2009,,10/9/2018,2,0,1,3,0,3,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614520,ISABELLE JACKSON ELEMENTARY SCHOOL,ELK GROVE USD EARLY CHILDHOOD EDUCATION,"FINE, MARTIN",(916) 689-2115,8351 CUTLER WAY,SACRAMENTO,CA,95828,SACRAMENTO,3,40,LICENSED,9/4/2007,,8/31/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343605707,ISADOR COHEN PRESCHOOL,SCUSD CHILD DEVELOPMENT,"GONZALES, SUZANNE",(916) 228-5840,"9025 SALMON FALLS DRIVE, RM.2",SACRAMENTO,CA,95826,SACRAMENTO,3,24,LICENSED,11/2/2000,,5/10/2019,3,0,1,4,0,0,1,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343619948,IT'S KIDS TIME,"KELEDJIAN ENTERPRISES, LLC","KELEDJIAN, JONNA",(916) 932-8463,250 PALLADIO PARKWAY #1301,FOLSOM,CA,95630,SACRAMENTO,3,36,CLOSED,7/30/2014,11/3/2016,8/31/2015,0,1,3,4,0,0,5,1,4/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616384,JAMES A. MCKEE ELEMENTARY SCHOOL,ELK GROVE UNIFIED SCHOOL DISTRICT,"JACKSON, BRENDA",(916) 686-3715,8701 HALVERSON DRIVE,ELK GROVE,CA,95624,SACRAMENTO,53,24,LICENSED,8/20/2010,,5/10/2018,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601824,JAMES MARSHALL STATE PRESCHOOL,SCUSD CHILD DEVELPMENT,ROXANE SJOLUND,(916) 264-4210,9525 GOETHE,SACRAMENTO,CA,95827,SACRAMENTO,3,24,LICENSED,4/1/1996,,10/1/2018,3,0,0,3,1,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340317924,JOHN BIDWELL PRESCHOOL,SCUSD CHILD DEVELOPMENT,"XIONG, CHAO",(916) 433-5451,1730 65TH AVENUE,SACRAMENTO,CA,95822,SACRAMENTO,3,50,LICENSED,6/16/1992,,2/9/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343606949,JOHN CABRILLO PRESCHOOL,SCUSD CHILD DEVELOPMENT,"MARTINEZ, YVETTE",(916) 264-4210,1141 SEAMAS,SACRAMENTO,CA,95822,SACRAMENTO,3,24,LICENSED,10/16/2001,,10/10/2018,3,0,1,4,0,1,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614216,JOHN EHRHARDT CHILD DEVELOPMENT CENTER,"CONTINUING DEVELOPMENT, INC.",DEBBIE JEN,(916) 684-1815,8900 OLD CREEK DRIVE,ELK GROVE,CA,95758,SACRAMENTO,53,21,LICENSED,4/5/2007,,11/8/2018,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614464,JOHN REITH ELEMENTARY SCHOOL,ELK GROVE UNIFIED SCHOOL DISTRICT,"ROACHFORD-GOULD, LOUISE",(916) 399-0110,8401 VALLEY LARK DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,3,33,LICENSED,7/20/2007,,1/3/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340319040,JOHN SLOAT PRESCHOOL,SCUSD CHILD DEVELOPMENT,"VICKERS, PAMELA",(916) 433-5054,7525 CANDLEWOOD WAY,SACRAMENTO,CA,95822,SACRAMENTO,3,24,LICENSED,9/4/1992,,9/12/2018,2,0,1,3,0,0,0,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617323,JOHN STILL PRESCHOOL,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,"VANG, CHONG Y.",(916) 718-7097,2200 JOHN STILL DRIVE,SACRAMENTO,CA,95832,SACRAMENTO,3,30,LICENSED,8/31/2012,,9/21/2018,2,0,0,2,0,2,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621275,"JOMJL LLC., SAPP FAMILY DAYCARE CENTER",JOMJL LLC. DBA SAPP FAMILY DAYCARE,"FRAZIER, CYNTHIA",(916) 468-3377,7323 STOCKTON BLVD,SACRAMENTO,CA,95823,SACRAMENTO,3,30,CLOSED,,9/18/2017,,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622948,JOURNEY OF LIFE PRESCHOOL & DAYCARE,"FIRST BAPTIST OF SACRAMENTO, THE","ROBBINS, JUDEA",(916) 443-6537,2324 L STREET,SACRAMENTO,CA,95816,SACRAMENTO,3,32,LICENSED,5/8/2019,,4/9/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604060,"JOY OF CHILDREN, THE","JOY OF CHILDREN, THE","HOWARD, E./SPILLMAN, A",(916) 608-9277,412 NATOMA STREET,FOLSOM,CA,95630,SACRAMENTO,3,45,LICENSED,5/10/1999,,5/1/2019,3,0,0,3,2,0,0,2,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614444,JOYCE PRESCHOOL,TWIN RIVER UNIFIED SCHOOL DISTRICT,"MCCOLL, NANCY",(916) 566-1880,6050 WATT AVE.,NORTH HIGHLANDS,CA,95660,SACRAMENTO,3,24,LICENSED,8/17/2007,,10/6/2017,2,0,0,2,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601391,JUST KIDS AT DISCOVERY TREE SCHOOL,"DISCOVERY TREE SCHOOLS, INC.",LETICIA CUELLAR,(916) 323-5301,1235 H STREET,SACRAMENTO,CA,95814,SACRAMENTO,3,40,LICENSED,8/21/1995,,6/26/2017,3,0,0,3,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622956,KCE CHAMPIONS LLC @ EDNA BATEY (PS),KCE CHAMPIONS LLC,"ESQUIVEL, BRIANA",(916) 479-4977,9421 STONEBROOK DRIVE,ELK GROVE,CA,95624,SACRAMENTO,53,16,LICENSED,3/28/2019,,3/22/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617215,KELLI'S PALS PRESCHOOL & DAY CARE,"BOYD, LIN","BOYD, LIN",(916) 922-0724,501 SAN JUAN ROAD,SACRAMENTO,CA,95834,SACRAMENTO,3,56,LICENSED,7/9/2012,,8/16/2019,3,7,3,13,3,12,0,0,11/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621444,KENESSET ISRAEL TORAH CTR (PS),KENESSET ISRAEL TORAH CENTER,"BATES, LISA",(916) 220-0849,1165 MORSE AVE,SACRAMENTO,CA,95864,SACRAMENTO,3,15,LICENSED,3/11/2019,,2/4/2019,0,0,2,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620010,KIDDIE JUNCTION,KIDDIE JUNCTION,KIDDIE JUNCTION,(916) 725-1782,7737 HIGHLAND AVE.,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,20,CLOSED,12/4/2014,1/15/2019,12/3/2014,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622379,KIDDY CLUB,"REID, MARLETT","REID, MARLETT",(916) 617-7248,7710 STOCKTON BLVD,SACRAMENTO,CA,95823,SACRAMENTO,3,60,LICENSED,6/19/2018,,6/19/2018,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621435,KIDDY CLUB DAYCARE,"REID, MARLETT","REID, MARLETT",(916) 617-7248,5230 EHRHARDT AVENUE,SACRAMENTO,CA,95823,SACRAMENTO,3,42,LICENSED,10/19/2016,,12/6/2018,1,1,2,4,0,0,0,0,7/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340312147,KIDS' WORLD LEARNING CENTER,"HART, PAUL & BEVERLY","DIPIPPO, ALYSSA",(916) 363-2800,2740 LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,22,CLOSED,3/17/1989,5/24/2018,1/31/2018,1,2,1,4,0,0,0,0,2/8/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340302914,KIDS' WORLD LEARNING CENTER,"HART, PAUL & BEVERLY","DIPIPPO, ALYSSA",(916) 363-2800,2800 LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,58,CLOSED,5/8/1979,5/24/2018,6/8/2018,2,6,1,9,1,6,0,0,6/8/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616527,KIDS CAMP,"KIDS CAMP, LLC",TIARA DORER,(916) 801-9072,7511 WEST STOCKTON,SACRAMENTO,CA,95823,SACRAMENTO,3,33,CLOSED,9/27/2010,12/31/2018,8/2/2017,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343619741,KIDS CAMP,"KIDS CAMP, LLC",KITTIE ENAMI,(916) 735-3165,8073 GREENBACK LANE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,36,CLOSED,4/4/2014,12/31/2018,10/18/2018,2,2,2,6,0,0,0,0,11/6/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616345,KIDS CAMP,"KIDS CAMP, LLC","EVANGER, DEENA",(916) 608-9900,231 BLUE RAVINE #400,FOLSOM,CA,95630,SACRAMENTO,3,50,CLOSED,6/4/2010,12/31/2018,11/30/2018,1,0,4,5,0,0,4,0,4/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601694,KIDS COMPANY PRESCHOOL & CHILDCARE CENTER,"WILLETTE, ROBIN","WILLETTE, ROBIN",(916) 944-0706,3850 CALIFORNIA AVE.,CARMICHAEL,CA,95608,SACRAMENTO,3,45,LICENSED,1/31/1996,,2/7/2019,2,3,0,5,1,1,0,0,6/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621489,KIDS INC PRESCHOOL AND DISCOVERY CENTER,"VACCARO, KELLI & MARK","VACCARO, KELLI JO",(916) 805-5961,250 PALLADIO PARKWAY #1310,FOLSOM,CA,95630,SACRAMENTO,3,41,LICENSED,1/4/2017,,8/22/2018,1,0,3,4,0,0,0,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623067,KIDS INC PRESCHOOL & DISCOVERY CENTER(PS),"VACCARO, KELLI","VACCARO, KELLI",(916) 743-0857,1740 PRAIRIE CITY ROAD,FOLSOM,CA,95630,SACRAMENTO,3,124,LICENSED,5/1/2019,,4/26/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604860,KIDS KOUNT AT THE GATHERING PLACE,FOLSOM FOURSQUARE CHURCH,"STALLWORTH, CHARZELL",(916) 353-0243,330 PLAZA DRIVE,FOLSOM,CA,95630,SACRAMENTO,3,120,CLOSED,8/16/2000,5/31/2016,12/17/2015,0,1,1,2,0,0,0,1,12/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623051,KIDS PARK-FOLSOM(PS),TIKA CARE LLC,"KAVAN, LADAN SHOJAEI",(916) 263-8786,1111 RILEY STREET,FOLSOM,CA,95630,SACRAMENTO,3,60,PENDING,,,,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343613142,KIDSPARK,"KIDSKORNER, INC.","STUART, LAURA",(916) 575-9004,4401 GATEWAY PARK BLVD STE 100,SACRAMENTO,CA,95834,SACRAMENTO,3,30,LICENSED,5/4/2007,,5/8/2019,2,1,2,5,0,0,1,0,11/26/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343615411,KIDZ COME FIRST CHILD DEVELOPMENT,STEPHEN STIGELMAYER,"WEAVER, MICHELLE",(209) 744-2600,10374 TWIN CITIES ROAD,GALT,CA,95632,SACRAMENTO,53,60,LICENSED,12/4/2008,,3/14/2019,3,0,3,6,1,3,0,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
