FacilityType,FacilityNumber,FacilityName,FacilityNameProper,Licensee,FacilityAdministrator,FacilityTelephoneNumber,FacilityAddress,FacilityAddressProper,FacilityCity,FacilityCityProper,FacilityState,FacilityZip,CountyName,RegionalOffice,FacilityCapacity,FacilityStatus,LicenseFirstDate,ClosedDate,LastVisitDate,InspectionVisits,ComplaintVisits,OtherVisits,TotalVisits,InspectTypeA,InspectTypeB,OtherTypeA,OtherTypeB,ComplaintInfo,AUTO_UNIQUE_ID_2019-09-04_weverka_ChildCareCente,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,Modified
DAY CARE CENTER,343620037,CHILDREN'S RECEIVING HOME OF SACRAMENTO,Children'S Receiving Home Of Sacramento,CHILDREN'S RECEIVING HOME OF SACRAMENTO PS,"WEGMANN, BRITTANY",(916) 482-2370,3555 AUBURN BLVD,3555 Auburn Blvd,SACRAMENTO,Sacramento,CA,95821,SACRAMENTO,3,10,LICENSED,11/5/2014,,2/1/2018,2,0,1,3,0,0,0,0,No Complaints,94,USCGeocoder,46.8463,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,25254.91759,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.63847659,-121.3816182,Relaxed,
DAY CARE CENTER,343610812,CHILDRENS' CREATIVE LEARNING CENTERS,Childrens' Creative Learning Centers,CHILDRENS' CREATIVE LEARNING CENTERS,"TYNES, KELLY",(916) 294-9600,13407 FOLSOM BLVD.,13407 Folsom Blvd.,FOLSOM,Folsom,CA,95630,SACRAMENTO,3,108,CLOSED,9/7/2005,10/14/2014,11/15/2013,0,0,0,0,0,0,0,0,No Complaints,95,USCGeocoder,93.8377,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4713.626625,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.65837472,-121.18353,Relaxed,
DAY CARE CENTER,343605614,CHILDTIME CHILDREN'S CENTER,Childtime Children'S Center,"CHILDTIME CHILDCARE, INC.",TRACI MOTE,(916) 648-1061,2555 MILLCREEK DRIVE,2555 Millcreek Drive,SACRAMENTO,Sacramento,CA,95833,SACRAMENTO,3,96,LICENSED,7/7/2000,,10/24/2018,4,4,1,9,0,2,0,0,7/11/2017,96,USCGeocoder,46.886,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,6916.74042,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61027965,-121.4983938,Relaxed,
DAY CARE CENTER,343604948,CHILDTIME CHILDREN'S CENTER,Childtime Children'S Center,"CHILDTIME CHILDCARE, INC.",LAURA SIMMONS,(916) 691-3800,7901 LAGUNA BLVD.,7901 Laguna Blvd.,ELK GROVE,Elk Grove,CA,95758,SACRAMENTO,53,95,LICENSED,10/26/1999,,7/22/2019,3,4,0,7,0,0,0,0,8/23/2018,97,USCGeocoder,234.3441,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.423593,-121.410583,Exact,
DAY CARE CENTER,340321306,CHOICES CHARTER,Choices Charter,SAN JUAN UNIFIED SCHOOL DISTRICT,"GRIMM, SUSAN",(916) 575-2368,4425 LAURELWOOD WAY,4425 Laurelwood Way,SACRAMENTO,Sacramento,CA,95864,SACRAMENTO,3,50,LICENSED,11/10/1993,,10/20/2017,2,0,0,2,0,1,0,0,No Complaints,98,USCGeocoder,93.9828,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,42891.72933,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.60557678,-121.3587763,Exact,
DAY CARE CENTER,340305003,CHRIST COMMUNITY PRE-SCHOOL,Christ Community Pre-School,CHRIST COMMUNITY CHURCH,"CHALFANT, NANCY",(916) 331-4977,5025 MANZANITA AVE,5025 Manzanita Ave,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,67,CLOSED,9/11/1981,12/11/2014,3/4/2014,0,0,0,0,0,0,0,0,No Complaints,99,USCGeocoder,171.8227,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1475.392249,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.65783984,-121.3275706,Exact,
DAY CARE CENTER,343607981,CIRCLE OF FRIENDS CHILD CARE CENTER,Circle Of Friends Child Care Center,"GILL, JASBIR AND SUKHMINDER","GILL, JASBIR",(916) 972-9200,3708 MARCONI AVE.,3708 Marconi Ave.,SACRAMENTO,Sacramento,CA,95821,SACRAMENTO,3,28,LICENSED,7/31/2002,,6/5/2019,3,0,0,3,0,0,0,0,No Complaints,100,USCGeocoder,46.9137,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,837.2638655,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61743625,-121.3782071,Relaxed,
DAY CARE CENTER,340314890,CITRUS HEIGHTS HEAD START & STATE P.S.,Citrus Heights Head Start & State P.S.,SAN JUAN UNIFIED SCHOOL DISTRICT,"ORAVETZ,A.;ROSS, A.",(916) 728-3175,7085 AUBURN BLVD.,7085 Auburn Blvd.,CITRUS HEIGHTS,Citrus Heights,CA,95610,SACRAMENTO,3,24,CLOSED,5/4/1992,5/12/2015,3/22/2013,0,0,0,0,0,0,0,0,No Complaints,101,USCGeocoder,78.3643,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8617.237994,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.69771904,-121.2903217,Exact,
DAY CARE CENTER,343601589,"CITRUS HEIGHTS PRESCHOOL, INC.","Citrus Heights Preschool, Inc.","CITRUS HEIGHTS PRESCHOOLS, INC.","NEWTON, PATRICIA",(916) 726-1550,7555 OLD AUBURN,7555 Old Auburn,CITRUS HEIGHTS,Citrus Heights,CA,95610,SACRAMENTO,3,81,LICENSED,12/8/1995,,7/19/2018,2,0,2,4,2,3,0,0,No Complaints,102,USCGeocoder,62.4987,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2934.61081,ArealInterpolationGeometricCentroid,Parcel,90.08284024,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.69608763,-121.288369,Relaxed,
DAY CARE CENTER,343617265,CLAIRE'S MONTESSORI,Claire'S Montessori,"GHATTAS, CLAIRE","GHATTAS, CLAIRE",(916) 987-1533,7331 BEECH AVENUE,7331 Beech Avenue,ORANGEVALE,Orangevale,CA,95662,SACRAMENTO,3,60,LICENSED,8/24/2012,,8/22/2019,3,2,2,7,1,5,1,1,1/24/2019,103,USCGeocoder,171.7577,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5272.05204,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.69875836,-121.2300673,Exact,
DAY CARE CENTER,343621345,CLAIRE'S MONTESSORI INTL ACADEMY (PS),Claire'S Montessori Intl Academy (Ps),"GHATTAS, CLAIRE","GHATTAS, CLAIRE",(916) 812-8744,7224 BEECH AVE,7224 Beech Ave,ORANGEVALE,Orangevale,CA,95662,SACRAMENTO,3,14,LICENSED,8/26/2016,,10/26/2018,1,2,1,4,0,3,0,0,8/21/2018,104,USCGeocoder,62.4983,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1974.044416,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.69829187,-121.2296129,Relaxed,
DAY CARE CENTER,343600077,CLAYTON B. WIRE PRESCHOOL,Clayton B. Wire Preschool,SCUSD CHILD DEVELOPMENT,"THOMPSON, P./POWELL, J.",(916) 433-5585,5100 EL PARAISO AVENUE,5100 El Paraiso Avenue,SACRAMENTO,Sacramento,CA,95824,SACRAMENTO,3,24,CLOSED,4/4/1994,1/15/2015,5/27/2010,0,0,0,0,0,0,0,0,No Complaints,105,USCGeocoder,124.8924,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4025.894943,LinearInterpolationAddressRange,StreetSegment,99.89940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.51369408,-121.4469283,Relaxed,
DAY CARE CENTER,340314896,COLEMAN HEAD START & PRESCHOOL,Coleman Head Start & Preschool,SAN JUAN UNIFIED SCHOOL DISTRICT,"ROHR, WHALEY &MCKEE",(916) 988-7130,6545 BEECH AVE.,6545 Beech Ave.,ORANGEVALE,Orangevale,CA,95662,SACRAMENTO,3,124,LICENSED,5/4/1992,,5/24/2019,3,0,0,3,0,0,0,0,No Complaints,106,USCGeocoder,46.6505,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,36923.5107,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.68485841,-121.2314077,Relaxed,
DAY CARE CENTER,343603314,COLLIS P. HUNTINGTON HEAD START,Collis P. Huntington Head Start,SCUSD CHILD DEVELPMENT,"MILLER, MELISSA",(916) 433-5437,5917 26TH STREET,5917 26Th Street,SACRAMENTO,Sacramento,CA,95822,SACRAMENTO,3,24,LICENSED,10/29/1997,,3/1/2019,3,0,2,5,0,4,0,3,No Complaints,107,USCGeocoder,296.9682,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5167113,-121.4780478,Relaxed,
DAY CARE CENTER,340300156,CORDOVA BAPTIST PRESCHOOL,Cordova Baptist Preschool,"CORDOVA BAPTIST CHURCH, INC.","HUPPERT, CARRIE",(916) 638-5506,10527 COLOMA ROAD,10527 Coloma Road,RANCHO CORDOVA,Rancho Cordova,CA,95670,SACRAMENTO,3,87,LICENSED,1/23/1972,,3/7/2019,2,0,0,2,3,1,1,0,No Complaints,108,USCGeocoder,203.113,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.6041973,-121.2988144,Relaxed,
DAY CARE CENTER,340300154,CORDOVA COMMUNITY PRE-SCHOOL NURSERY,Cordova Community Pre-School Nursery,"NEW LIFE CENTER, INC.",MARIA SALGADO,(916) 635-5086,2451 ZINFANDEL DRIVE,2451 Zinfandel Drive,RANCHO CORDOVA,Rancho Cordova,CA,95670,SACRAMENTO,3,52,LICENSED,10/29/1971,,10/19/2018,3,0,3,6,1,0,0,0,No Complaints,109,USCGeocoder,187.5037,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.6025295,-121.2898654,Relaxed,
DAY CARE CENTER,343617651,CORDOVA GARDENS PRESCHOOL,Cordova Gardens Preschool,"FOLSOM CORDOVA, USD PRESCHOOL PROGRAMS","ALTOP, BYANCA",(916) 635-4301,2400 DAWES STREET,2400 Dawes Street,RANCHO CORDOVA,Rancho Cordova,CA,95670,SACRAMENTO,3,24,LICENSED,9/12/2013,,2/14/2018,1,0,0,1,0,0,0,0,No Complaints,110,USCGeocoder,78.1249,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,49518.75902,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.59611417,-121.3102222,Relaxed,
DAY CARE CENTER,343616437,CORDOVA LANE PRESCHOOL,Cordova Lane Preschool,FOLSOM CORDOVA USD PRESCHOOL PROGRAMS,"THREEMOONS-ROGGE, MARY",(916) 635-4301,2460 CORDOVA LANE,2460 Cordova Lane,RANCHO CORDOVA,Rancho Cordova,CA,95670,SACRAMENTO,3,60,LICENSED,8/10/2010,,8/28/2019,2,0,1,3,0,0,0,0,No Complaints,111,USCGeocoder,218.8639,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.6040375,-121.2871106,Relaxed,
DAY CARE CENTER,340318372,CORDOVA MEADOWS ELEMENTARY SCHOOL,Cordova Meadows Elementary School,FOLSOM CORDOVA UNIFIED SCHOOL DISTRICT,"YIM, JEAN",(916) 363-3818,2550 LA LOMA DRIVE,2550 La Loma Drive,RANCHO CORDOVA,Rancho Cordova,CA,95670,SACRAMENTO,3,30,LICENSED,6/22/1992,,3/22/2018,1,0,1,2,0,0,1,0,No Complaints,112,USCGeocoder,31.2379,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,22596.65032,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.59011669,-121.3165174,Relaxed,
DAY CARE CENTER,340318374,CORDOVA VILLA ELEMENTARY SCHOOL,Cordova Villa Elementary School,FOLSOM CORDOVA UNIFIED SCHOOL DISTRICT,"CHAVEZ, AUNDRIA",(916) 366-6181,10460 REYMOUTH AVENUE,10460 Reymouth Avenue,RANCHO CORDOVA,Rancho Cordova,CA,95670,SACRAMENTO,3,22,LICENSED,6/22/1992,,5/13/2019,1,0,1,2,0,0,0,0,No Complaints,113,USCGeocoder,93.4704,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7068.045932,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.57832134,-121.3023529,Exact,
DAY CARE CENTER,340302052,CORNERSTONE CHRISTIAN SCHOOL,Cornerstone Christian School,CORNERSTONE CHRISTIAN SCHOOL,BECKY KIDDER/BARBARANYGREN,(916) 332-4070,5073 ANDREA BLVD,5073 Andrea Blvd,SACRAMENTO,Sacramento,CA,95842,SACRAMENTO,3,48,LICENSED,10/19/1989,,11/27/2017,1,0,0,1,0,0,0,0,No Complaints,114,USCGeocoder,93.6691,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1856.822308,LinearInterpolationAddressRange,StreetSegment,99.89940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.68835489,-121.3433527,Relaxed,
DAY CARE CENTER,343607290,COSUMNES RIVER COLLEGE CHILD DEVELOPMENT CENTER,Cosumnes River College Child Development Center,COSUMNES RIVER COLLEGE,JENNIFER PATRICK,(916) 691-7380,8401 CENTER PARKWAY,8401 Center Parkway,SACRAMENTO,Sacramento,CA,95823,SACRAMENTO,3,96,LICENSED,2/28/2002,,11/13/2017,2,0,0,2,0,0,0,0,No Complaints,115,USCGeocoder,281.13,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.4527689,-121.4223121,Exact,
DAY CARE CENTER,343603677,COTTAGE KIDS CHILDREN'S CENTER,Cottage Kids Children'S Center,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,"ALLEY, NICOLE",(916) 979-2011,2800 COTTAGE WAY,2800 Cottage Way,SACRAMENTO,Sacramento,CA,95825,SACRAMENTO,3,64,LICENSED,9/28/1998,,7/12/2019,4,1,1,6,0,0,1,0,3/7/2019,116,USCGeocoder,62.4961,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,81490.44025,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.60146267,-121.3979519,Relaxed,
DAY CARE CENTER,343605736,COTTAGE STATE PRESCHOOL,Cottage State Preschool,SAN JUAN UNIFIED SCHOOL DISTRICT,"FEUSI, KIM",(916) 575-2306,2221 MORSE AVENUE,2221 Morse Avenue,SACRAMENTO,Sacramento,CA,95825,SACRAMENTO,3,26,LICENSED,9/28/2000,,1/29/2019,3,0,0,3,0,0,0,0,No Complaints,117,USCGeocoder,109.3761,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1046.635007,LinearInterpolationAddressRange,StreetSegment,99.89940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.60577295,-121.3923307,Relaxed,
DAY CARE CENTER,340313576,COUNTRY HILL MONTESSORI,Country Hill Montessori,"HOSSEINI, ELISABETH","BYRD, TANYA",(916) 969-2929,6131 KENNETH AVE,6131 Kenneth Ave,FAIR OAKS,Fair Oaks,CA,95628,SACRAMENTO,3,60,CLOSED,8/17/1990,3/2/2018,12/19/2017,2,0,0,2,0,1,0,0,No Complaints,118,USCGeocoder,46.9725,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,15133.45311,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.67825593,-121.245809,Exact,
DAY CARE CENTER,343622305,"COUNTRY HILL MONTESSORI, INC.","Country Hill Montessori, Inc.","COUNTRY HILL MONTESSORI, INC","BYRD, TANYA",(916) 969-2929,6131 KENNETH AVENUE,6131 Kenneth Avenue,FAIR OAKS,Fair Oaks,CA,95628,SACRAMENTO,3,60,LICENSED,3/2/2018,,3/2/2018,0,0,1,1,0,0,0,0,No Complaints,119,USCGeocoder,30.9899,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,15133.45311,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.67825593,-121.245809,Exact,
DAY CARE CENTER,340302960,COUNTRY OAKS PRE-SCHOOL,Country Oaks Pre-School,"COUNTRY OAKS SCHOOL, INC.",WILLIAMS & CAPLAN,(916) 484-1441,2661 NORTHRUP AVENUE,2661 Northrup Avenue,SACRAMENTO,Sacramento,CA,95864,SACRAMENTO,3,51,LICENSED,9/4/1979,,3/24/2017,2,0,0,2,0,4,0,0,No Complaints,120,USCGeocoder,93.682,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3282.051282,ArealInterpolationGeometricCentroid,Parcel,96.67159763,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.58189963,-121.3999052,Relaxed;Soundex,
DAY CARE CENTER,343616551,COUNTRYHILL MONTESSORI,Countryhill Montessori,COUNTRYHILL MONTESSORI,"MORGAN, ELIZABETH",(916) 728-2929,7048 SUNRISE BLVD.,7048 Sunrise Blvd.,CITRUS HEIGHTS,Citrus Heights,CA,95610,SACRAMENTO,3,102,LICENSED,12/20/2010,,2/28/2019,2,3,0,5,0,0,0,0,12/27/2017,121,USCGeocoder,78.1253,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1933.20555,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.69503271,-121.2697728,Relaxed,
DAY CARE CENTER,340314894,COYLE AVE HEAD START & STATE PRESCHOOL,Coyle Ave Head Start & State Preschool,SAN JUAN UNIFIED SCHOOL DISTRICT,"FASUYI, TERRI",(916) 867-2015,6330 COYLE AVE.,6330 Coyle Ave.,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,24,LICENSED,5/4/1992,,3/28/2019,2,0,0,2,0,3,0,0,No Complaints,122,USCGeocoder,78.1308,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5547.90477,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.66789901,-121.3173929,Exact,
DAY CARE CENTER,343621681,CREATIVE SPACES PRESCHOOL AND LEARNING CENTER,Creative Spaces Preschool And Learning Center,"THORN, MANPREET","THORN, MANPREET",(916) 307-7109,5315 H STREET,5315 H Street,SACRAMENTO,Sacramento,CA,95819,SACRAMENTO,3,24,CLOSED,,3/3/2017,,0,0,0,0,0,0,0,0,No Complaints,123,USCGeocoder,187.526,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5684954,-121.4373844,Relaxed,
DAY CARE CENTER,343622084,CREATIVE SPACES PRESCHOOL AND LEARNING CENTER,Creative Spaces Preschool And Learning Center,"CREATIVE SPACES PRESCHOOL AND LEARNING CENTER, INC","MONG, ELIZABETH",(916) 307-7109,5315 H STREET,5315 H Street,SACRAMENTO,Sacramento,CA,95819,SACRAMENTO,3,30,LICENSED,11/2/2017,,7/18/2019,2,0,1,3,0,1,0,0,No Complaints,124,USCGeocoder,203.1215,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5684954,-121.4373844,Relaxed,
DAY CARE CENTER,343620671,CREATIVE SPIRIT LEARNING CENTER,Creative Spirit Learning Center,"BRANN, NICOLE & TAYLOR GREEN, AUBREY","BRANN, NICOLE",(916) 967-7883,10729 FAIR OAKS BLVD,10729 Fair Oaks Blvd,FAIR OAKS,Fair Oaks,CA,95628,SACRAMENTO,3,24,CLOSED,1/22/2016,5/28/2019,2/26/2019,2,0,2,4,0,2,0,0,No Complaints,125,USCGeocoder,78.1622,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1860.91726,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.64563761,-121.2647421,Exact,
DAY CARE CENTER,343623141,CREATIVE SPIRIT LEARNING CENTER,Creative Spirit Learning Center,"CREATIVE SPIRIT LEARNING, LLC","BRANN, NICOLE",(916) 967-7883,10729 FAIR OAKS BLVD,10729 Fair Oaks Blvd,FAIR OAKS,Fair Oaks,CA,95628,SACRAMENTO,3,24,LICENSED,5/28/2019,,5/22/2019,0,0,1,1,0,0,0,0,No Complaints,126,USCGeocoder,31.3229,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1860.91726,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.64563761,-121.2647421,Exact,
DAY CARE CENTER,343619592,CYRIL SPINELLI CDC,Cyril Spinelli Cdc,CONTINUING DEVELOPMENT INC.,"MITCHELL, KRYSTLE",(916) 348-7415,3401 SCOTLAND DRIVE,3401 Scotland Drive,ANTELOPE,Antelope,CA,95843,SACRAMENTO,3,24,LICENSED,11/12/2013,,1/17/2019,3,1,3,7,0,0,0,0,9/26/2014,127,USCGeocoder,62.4982,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,42287.81875,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.70759592,-121.3875698,Relaxed,
DAY CARE CENTER,340306387,C.P. HUNTINGTON CHILDREN'S CENTER,C.P. Huntington Children'S Center,SCUSD CHILD DEVELOPMENT,"CORRAL, ANGELINA",(916) 433-5438,5917 26TH STREET,5917 26Th Street,SACRAMENTO,Sacramento,CA,95822,SACRAMENTO,3,67,LICENSED,5/23/1982,,3/1/2019,3,0,3,6,0,0,1,0,No Complaints,128,USCGeocoder,265.4256,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5167113,-121.4780478,Relaxed,
DAY CARE CENTER,343621967,D'S ANGELS PRESCHOOL & CHILD DEVELOPMENT CENTER,D'S Angels Preschool & Child Development Center,"REED, DE'ANGELA","REED, DE'ANGELA",(916) 241-5911,2400 GLENDALE LANE #E,2400 Glendale Lane #E,SACRAMENTO,Sacramento,CA,95825,SACRAMENTO,3,24,CLOSED,,5/7/2018,,0,0,0,0,0,0,0,0,No Complaints,129,USCGeocoder,78.3029,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,6018.228527,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.59735921,-121.4051436,Relaxed,
DAY CARE CENTER,343619901,D'S ANGELS PRESCHOOL & CHILD DEVELOPMENT CENTER,D'S Angels Preschool & Child Development Center,DE'ANGELA M REED,DE'ANGELA M REED,(916) 737-5209,2810 REDDING AVENUE #F,2810 Redding Avenue #F,SACRAMENTO,Sacramento,CA,95820,SACRAMENTO,3,34,CLOSED,9/18/2014,9/1/2017,7/27/2017,1,4,0,5,0,2,0,0,8/4/2017,130,USCGeocoder,234.3219,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5489297,-121.4239257,Relaxed,
DAY CARE CENTER,343621270,DAR-UL-MADINAH,Dar-Ul-Madinah,DAR-UL-MADINAH,TBD,(916) 779-2109,4110 NORTH FREEWAY BLVD,4110 North Freeway Blvd,SACRAMENTO,Sacramento,CA,95834,SACRAMENTO,3,72,LICENSED,8/23/2016,,8/23/2016,0,0,1,1,0,0,0,0,No Complaints,131,USCGeocoder,93.7929,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,13273.69106,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.64390442,-121.478066,Relaxed,
